"Points","200m","300m","400m","500m","4x200m","4x400m"
"1157","23.21","37.11","52.09","1:08.33","1:33.64","3:30.78"
"1156","23.22","37.13","52.12","1:08.37","1:33.69","3:30.90"
"1155","23.23","37.15","52.14","1:08.41","1:33.75","3:31.02"
"1154","23.24","37.16","52.17","1:08.44","1:33.80","3:31.14"
"1153","23.25","37.18","52.19","1:08.48","1:33.85","3:31.26"
"1152","23.26","37.20","52.22","1:08.51","1:33.90","3:31.37"
"1151","23.27","37.22","52.24","1:08.55","1:33.95","3:31.49"
"1150","23.28","37.24","52.27","1:08.58","1:34.00","3:31.61"
"1149","23.30","37.25","52.30","1:08.62","1:34.05","3:31.73"
"1148","23.31","37.27","52.32","1:08.66","1:34.10","3:31.85"
"1147","23.32","37.29","52.35","1:08.69","1:34.16","3:31.97"
"1146","23.33","37.31","52.37","1:08.73","1:34.21","3:32.08"
"1145","23.34","37.33","52.40","1:08.76","1:34.26","3:32.20"
"1144","23.35","37.35","52.43","1:08.80","1:34.31","3:32.32"
"1143","23.36","37.36","52.45","1:08.83","1:34.36","3:32.44"
"1142","23.37","37.38","52.48","1:08.87","1:34.41","3:32.56"
"1141","23.38","37.40","52.50","1:08.90","1:34.46","3:32.68"
"1140","23.39","37.42","52.53","1:08.94","1:34.52","3:32.80"
"1139","23.40","37.44","52.56","1:08.98","1:34.57","3:32.92"
"1138","23.41","37.46","52.58","1:09.01","1:34.62","3:33.03"
"1137","23.42","37.47","52.61","1:09.05","1:34.67","3:33.15"
"1136","23.43","37.49","52.64","1:09.08","1:34.72","3:33.27"
"1135","23.44","37.51","52.66","1:09.12","1:34.77","3:33.39"
"1134","23.45","37.53","52.69","1:09.16","1:34.82","3:33.51"
"1133","23.46","37.55","52.71","1:09.19","1:34.88","3:33.63"
"1132","23.47","37.56","52.74","1:09.23","1:34.93","3:33.75"
"1131","23.49","37.58","52.77","1:09.26","1:34.98","3:33.87"
"1130","23.50","37.60","52.79","1:09.30","1:35.03","3:33.99"
"1129","23.51","37.62","52.82","1:09.34","1:35.08","3:34.11"
"1128","23.52","37.64","52.84","1:09.37","1:35.14","3:34.23"
"1127","23.53","37.66","52.87","1:09.41","1:35.19","3:34.35"
"1126","23.54","37.67","52.90","1:09.44","1:35.24","3:34.47"
"1125","23.55","37.69","52.92","1:09.48","1:35.29","3:34.59"
"1124","23.56","37.71","52.95","1:09.52","1:35.34","3:34.71"
"1123","23.57","37.73","52.98","1:09.55","1:35.39","3:34.83"
"1122","23.58","37.75","53.00","1:09.59","1:35.45","3:34.95"
"1121","23.59","37.77","53.03","1:09.62","1:35.50","3:35.07"
"1120","23.60","37.79","53.05","1:09.66","1:35.55","3:35.19"
"1119","23.61","37.80","53.08","1:09.70","1:35.60","3:35.31"
"1118","23.62","37.82","53.11","1:09.73","1:35.65","3:35.43"
"1117","23.63","37.84","53.13","1:09.77","1:35.71","3:35.55"
"1116","23.65","37.86","53.16","1:09.80","1:35.76","3:35.67"
"1115","23.66","37.88","53.19","1:09.84","1:35.81","3:35.79"
"1114","23.67","37.90","53.21","1:09.88","1:35.86","3:35.91"
"1113","23.68","37.91","53.24","1:09.91","1:35.91","3:36.03"
"1112","23.69","37.93","53.27","1:09.95","1:35.97","3:36.15"
"1111","23.70","37.95","53.29","1:09.98","1:36.02","3:36.27"
"1110","23.71","37.97","53.32","1:10.02","1:36.07","3:36.39"
"1109","23.72","37.99","53.34","1:10.06","1:36.12","3:36.51"
"1108","23.73","38.01","53.37","1:10.09","1:36.18","3:36.63"
"1107","23.74","38.02","53.40","1:10.13","1:36.23","3:36.75"
"1106","23.75","38.04","53.42","1:10.17","1:36.28","3:36.87"
