"Points","HJ","PV","LJ","TJ","SP","Hept."
"199","-","-","3.51","7.56","4.38","1300"
"198","-","1.95","-","7.55","4.36","1295"
"197","-","-","3.50","7.54","4.35","1289"
"196","-","1.94","-","7.53","4.33","1284"
"195","-","-","3.49","7.52","4.31","1279"
"194","1.15","-","-","7.51","4.29","1274"
"193","-","1.93","3.48","7.50","4.28","1269"
"192","-","-","-","7.49","4.26","1263"
"191","-","1.92","3.47","7.48","4.24","1258"
"190","-","-","-","7.47","4.23","1253"
"189","-","-","3.46","7.46","4.21","1248"
"188","-","1.91","-","7.45","4.19","1242"
"187","-","-","3.45","7.44","4.17","1237"
"186","1.14","1.90","-","7.43","4.16","1232"
"185","-","-","3.44","7.42","4.14","1227"
"184","-","-","-","7.41","4.12","1221"
"183","-","1.89","3.43","7.40","4.11","1216"
"182","-","-","-","7.39","4.09","1211"
"181","-","1.88","3.42","7.38","4.07","1206"
"180","-","-","-","7.37","4.05","1200"
"179","-","-","3.41","7.36","4.04","1195"
"178","1.13","1.87","-","7.35","4.02","1190"
"177","-","-","3.40","7.33","4.00","1185"
"176","-","1.86","-","7.32","3.99","1179"
"175","-","-","3.39","7.31","3.97","1174"
"174","-","-","-","7.30","3.95","1169"
"173","-","1.85","3.38","7.29","3.93","1164"
"172","-","-","-","7.28","3.92","1158"
"171","-","1.84","3.37","7.27","3.90","1153"
"170","1.12","-","-","7.26","3.88","1148"
"169","-","-","3.36","7.25","3.87","1143"
"168","-","1.83","-","7.24","3.85","1137"
"167","-","-","3.35","7.23","3.83","1132"
"166","-","1.82","-","7.22","3.81","1127"
"165","-","-","3.34","7.21","3.80","1122"
"164","-","-","-","7.20","3.78","1116"
"163","-","1.81","3.33","7.19","3.76","1111"
"162","1.11","-","-","7.18","3.75","1106"
"161","-","1.80","3.32","7.17","3.73","1101"
"160","-","-","-","7.16","3.71","1095"
"159","-","-","3.31","7.15","3.69","1090"
"158","-","1.79","-","7.14","3.68","1085"
"157","-","-","3.30","7.13","3.66","1079"
"156","-","1.78","3.29","7.12","3.64","1074"
"155","-","-","-","7.11","3.63","1069"
"154","1.10","-","3.28","7.10","3.61","1064"
"153","-","1.77","-","7.09","3.59","1058"
"152","-","-","3.27","7.08","3.57","1053"
"151","-","1.76","-","7.07","3.56","1048"
"150","-","-","3.26","7.06","3.54","1043"
"149","-","-","-","7.05","3.52","1037"
"148","-","1.75","3.25","7.04","3.51","1032"
"147","-","-","-","7.03","3.49","1027"
"146","-","1.74","3.24","7.02","3.47","1022"
"145","1.09","-","-","7.01","3.45","1016"
"144","-","-","3.23","7.00","3.44","1011"
"143","-","1.73","-","6.99","3.42","1006"
"142","-","-","3.22","6.98","3.40","1001"
"141","-","1.72","-","6.97","3.39","995"
"140","-","-","3.21","6.96","3.37","990"
"139","-","-","-","6.95","3.35","985"
"138","-","1.71","3.20","6.94","3.33","979"
"137","1.08","-","-","6.92","3.32","974"
"136","-","1.70","3.19","6.91","3.30","969"
"135","-","-","-","6.90","3.28","964"
"134","-","-","3.18","6.89","3.27","958"
"133","-","1.69","-","6.88","3.25","953"
"132","-","-","3.17","6.87","3.23","948"
"131","-","1.68","-","6.86","3.21","943"
"130","-","-","3.16","6.85","3.20","937"
"129","1.07","-","-","6.84","3.18","932"
"128","-","1.67","3.15","6.83","3.16","927"
"127","-","-","-","6.82","3.14","921"
"126","-","1.66","3.14","6.81","3.13","916"
"125","-","-","-","6.80","3.11","911"
"124","-","-","3.13","6.79","3.09","906"
"123","-","1.65","-","6.78","3.08","900"
"122","-","-","3.12","6.77","3.06","895"
"121","1.06","1.64","-","6.76","3.04","890"
"120","-","-","3.11","6.75","3.02","884"
"119","-","-","-","6.74","3.01","879"
"118","-","1.63","3.10","6.73","2.99","874"
"117","-","-","-","6.72","2.97","869"
"116","-","1.62","3.09","6.71","2.96","863"
"115","-","-","-","6.70","2.94","858"
"114","-","-","3.08","6.69","2.92","853"
"113","1.05","1.61","-","6.68","2.90","848"
"112","-","-","3.07","6.67","2.89","842"
"111","-","1.60","-","6.66","2.87","837"
"110","-","-","3.06","6.65","2.85","832"
"109","-","-","-","6.64","2.84","826"
"108","-","1.59","3.05","6.63","2.82","821"
"107","-","-","-","6.62","2.80","816"
"106","-","1.58","3.04","6.61","2.78","811"
"105","1.04","-","-","6.60","2.77","805"
"104","-","-","3.03","6.59","2.75","800"
"103","-","1.57","-","6.57","2.73","795"
"102","-","-","3.02","6.56","2.72","789"
"101","-","1.56","-","6.55","2.70","784"
"100","-","-","3.01","6.54","2.68","779"
"99","-","-","-","6.53","2.66","774"
"98","-","1.55","3.00","6.52","2.65","768"
"97","1.03","-","-","6.51","2.63","763"
"96","-","1.54","2.99","6.50","2.61","758"
"95","-","-","-","6.49","2.60","752"
"94","-","-","2.98","6.48","2.58","747"
"93","-","1.53","-","6.47","2.56","742"
"92","-","-","2.97","6.46","2.54","736"
"91","-","1.52","-","6.45","2.53","731"
"90","-","-","2.96","6.44","2.51","726"
"89","-","-","-","6.43","2.49","721"
"88","1.02","1.51","2.95","6.42","2.48","715"
"87","-","-","-","6.41","2.46","710"
"86","-","1.50","2.94","6.40","2.44","705"
"85","-","-","-","6.39","2.42","699"
"84","-","-","2.93","6.38","2.41","694"
"83","-","1.49","-","6.37","2.39","689"
"82","-","-","2.92","6.36","2.37","684"
"81","-","1.48","-","6.35","2.36","678"
"80","1.01","-","2.91","6.34","2.34","673"
"79","-","-","-","6.33","2.32","668"
"78","-","1.47","2.90","6.32","2.30","662"
"77","-","-","-","6.31","2.29","657"
"76","-","1.46","2.89","6.30","2.27","652"
"75","-","-","-","6.29","2.25","646"
"74","-","-","2.88","6.28","2.23","641"
"73","-","1.45","-","6.27","2.22","636"
"72","1.00","-","2.87","6.25","2.20","630"
"71","-","1.44","-","6.24","2.18","625"
"70","-","-","2.86","6.23","2.17","620"
"69","-","-","-","6.22","2.15","615"
"68","-","1.43","2.85","6.21","2.13","609"
"67","-","-","-","6.20","2.11","604"
"66","-","1.42","2.84","6.19","2.10","599"
"65","-","-","-","6.18","2.08","593"
"64","0.99","-","2.83","6.17","2.06","588"
"63","-","1.41","-","6.16","2.05","583"
"62","-","-","2.82","6.15","2.03","577"
"61","-","1.40","-","6.14","2.01","572"
"60","-","-","2.81","6.13","1.99","567"
"59","-","-","-","6.12","1.98","561"
"58","-","1.39","2.80","6.11","1.96","556"
"57","-","-","-","6.10","1.94","551"
"56","0.98","1.38","2.79","6.09","1.93","546"
"55","-","-","-","6.08","1.91","540"
"54","-","-","2.78","6.07","1.89","535"
"53","-","1.37","-","6.06","1.87","530"
"52","-","-","2.77","6.05","1.86","524"
"51","-","1.36","-","6.04","1.84","519"
"50","-","-","2.76","6.03","1.82","514"
"49","-","-","-","6.02","1.80","508"
"48","0.97","1.35","2.75","6.01","1.79","503"
"47","-","-","-","6.00","1.77","498"
"46","-","1.34","2.74","5.99","1.75","492"
"45","-","-","-","5.98","1.74","487"
"44","-","-","2.73","5.96","1.72","482"
"43","-","1.33","-","5.95","1.70","476"
"42","-","-","2.72","5.94","1.68","471"
"41","-","1.32","-","5.93","1.67","466"
"40","0.96","-","2.71","5.92","1.65","460"
"39","-","1.31","-","5.91","1.63","455"
"38","-","-","2.70","5.90","1.62","450"
"37","-","-","2.69","5.89","1.60","445"
"36","-","1.30","-","5.88","1.58","439"
"35","-","-","2.68","5.87","1.56","434"
"34","-","1.29","-","5.86","1.55","429"
"33","-","-","2.67","5.85","1.53","423"
"32","0.95","-","-","5.84","1.51","418"
"31","-","1.28","2.66","5.83","1.50","413"
"30","-","-","-","5.82","1.48","407"
"29","-","1.27","2.65","5.81","1.46","402"
"28","-","-","-","5.80","1.44","397"
"27","-","-","2.64","5.79","1.43","391"
"26","-","1.26","-","5.78","1.41","386"
"25","-","-","2.63","5.77","1.39","381"
"24","0.94","1.25","-","5.76","1.37","375"
"23","-","-","2.62","5.75","1.36","370"
"22","-","-","-","5.74","1.34","365"
"21","-","1.24","2.61","5.73","1.32","359"
"20","-","-","-","5.72","1.31","354"
"19","-","1.23","2.60","5.71","1.29","349"
"18","-","-","-","5.70","1.27","343"
"17","-","-","2.59","5.68","1.25","338"
"16","0.93","1.22","-","5.67","1.24","333"
"15","-","-","2.58","5.66","1.22","327"
"14","-","1.21","-","5.65","1.20","322"
"13","-","-","2.57","5.64","1.19","317"
"12","-","-","-","5.63","1.17","311"
"11","-","1.20","2.56","5.62","1.15","306"
"10","-","-","-","5.61","1.13","301"
"9","-","1.19","2.55","5.60","1.12","295"
"8","0.92","-","-","5.59","1.10","290"
"7","-","-","2.54","5.58","1.08","285"
"6","-","1.18","-","5.57","1.07","279"
"5","-","-","2.53","5.56","1.05","274"
"4","-","1.17","-","5.55","1.03","269"
"3","-","-","2.52","5.54","1.01","263"
"2","-","-","-","5.53","1.00","258"
"1","-","1.16","2.51","5.52","0.98","253"
