"Points","200m","300m","400m","500m","4x200m","4x400m"
"1066","21.45","33.68","47.63","1:02.56","1:25.54","3:12.35"
"1065","21.46","33.69","47.65","1:02.58","1:25.57","3:12.42"
"1064","21.47","33.70","47.66","1:02.60","1:25.60","3:12.49"
"1063","-","33.71","47.68","1:02.62","1:25.63","3:12.56"
"1062","21.48","33.73","47.69","1:02.64","1:25.65","3:12.63"
"1061","21.49","33.74","47.71","1:02.66","1:25.68","3:12.69"
"1060","-","33.75","47.72","1:02.68","1:25.71","3:12.76"
"1059","21.50","33.76","47.74","1:02.70","1:25.73","3:12.83"
"1058","21.51","33.77","47.75","1:02.72","1:25.76","3:12.90"
"1057","-","33.78","47.77","1:02.74","1:25.79","3:12.97"
"1056","21.52","33.79","47.79","1:02.76","1:25.82","3:13.04"
"1055","21.53","33.81","47.80","1:02.78","1:25.85","3:13.11"
"1054","-","33.82","47.82","1:02.80","1:25.87","3:13.18"
"1053","21.54","33.83","47.83","1:02.82","1:25.90","3:13.25"
"1052","21.55","33.84","47.85","1:02.84","1:25.93","3:13.32"
"1051","-","33.85","47.86","1:02.87","1:25.96","3:13.39"
"1050","21.56","33.86","47.88","1:02.89","1:25.98","3:13.46"
"1049","21.57","33.87","47.89","1:02.91","1:26.01","3:13.53"
"1048","-","33.89","47.91","1:02.93","1:26.04","3:13.60"
"1047","21.58","33.90","47.93","1:02.95","1:26.07","3:13.67"
"1046","21.59","33.91","47.94","1:02.97","1:26.09","3:13.74"
"1045","21.60","33.92","47.96","1:02.99","1:26.12","3:13.81"
"1044","-","33.93","47.97","1:03.01","1:26.15","3:13.88"
"1043","21.61","33.94","47.99","1:03.03","1:26.18","3:13.95"
"1042","21.62","33.95","48.00","1:03.05","1:26.20","3:14.02"
"1041","-","33.97","48.02","1:03.07","1:26.23","3:14.09"
"1040","21.63","33.98","48.04","1:03.09","1:26.26","3:14.16"
"1039","21.64","33.99","48.05","1:03.11","1:26.29","3:14.23"
"1038","-","34.00","48.07","1:03.13","1:26.32","3:14.30"
"1037","21.65","34.01","48.08","1:03.15","1:26.34","3:14.37"
"1036","21.66","34.02","48.10","1:03.17","1:26.37","3:14.44"
"1035","-","34.04","48.11","1:03.19","1:26.40","3:14.51"
"1034","21.67","34.05","48.13","1:03.22","1:26.43","3:14.58"
"1033","21.68","34.06","48.14","1:03.24","1:26.45","3:14.65"
"1032","21.69","34.07","48.16","1:03.26","1:26.48","3:14.72"
"1031","-","34.08","48.18","1:03.28","1:26.51","3:14.79"
"1030","21.70","34.09","48.19","1:03.30","1:26.54","3:14.86"
"1029","21.71","34.11","48.21","1:03.32","1:26.57","3:14.93"
"1028","-","34.12","48.22","1:03.34","1:26.59","3:15.00"
"1027","21.72","34.13","48.24","1:03.36","1:26.62","3:15.07"
"1026","21.73","34.14","48.26","1:03.38","1:26.65","3:15.14"
"1025","-","34.15","48.27","1:03.40","1:26.68","3:15.22"
"1024","21.74","34.16","48.29","1:03.42","1:26.71","3:15.29"
"1023","21.75","34.18","48.30","1:03.44","1:26.73","3:15.36"
"1022","-","34.19","48.32","1:03.46","1:26.76","3:15.43"
"1021","21.76","34.20","48.33","1:03.49","1:26.79","3:15.50"
"1020","21.77","34.21","48.35","1:03.51","1:26.82","3:15.57"
"1019","21.78","34.22","48.37","1:03.53","1:26.85","3:15.64"
"1018","-","34.23","48.38","1:03.55","1:26.87","3:15.71"
"1017","21.79","34.25","48.40","1:03.57","1:26.90","3:15.78"
"1016","21.80","34.26","48.41","1:03.59","1:26.93","3:15.85"
"1015","-","34.27","48.43","1:03.61","1:26.96","3:15.92"
"1014","21.81","34.28","48.44","1:03.63","1:26.99","3:15.99"
"1013","21.82","34.29","48.46","1:03.65","1:27.01","3:16.07"
"1012","-","34.30","48.48","1:03.67","1:27.04","3:16.14"
"1011","21.83","34.32","48.49","1:03.69","1:27.07","3:16.21"
"1010","21.84","34.33","48.51","1:03.71","1:27.10","3:16.28"
"1009","21.85","34.34","48.52","1:03.74","1:27.13","3:16.35"
"1008","-","34.35","48.54","1:03.76","1:27.16","3:16.42"
"1007","21.86","34.36","48.56","1:03.78","1:27.18","3:16.49"
"1006","21.87","34.37","48.57","1:03.80","1:27.21","3:16.56"
"1005","-","34.39","48.59","1:03.82","1:27.24","3:16.63"
"1004","21.88","34.40","48.60","1:03.84","1:27.27","3:16.71"
"1003","21.89","34.41","48.62","1:03.86","1:27.30","3:16.78"
"1002","21.90","34.42","48.64","1:03.88","1:27.32","3:16.85"
"1001","-","34.43","48.65","1:03.90","1:27.35","3:16.92"
"1000","21.91","34.44","48.67","1:03.92","1:27.38","3:16.99"
"999","21.92","34.46","48.68","1:03.95","1:27.41","3:17.06"
"998","-","34.47","48.70","1:03.97","1:27.44","3:17.13"
"997","21.93","34.48","48.72","1:03.99","1:27.47","3:17.21"
"996","21.94","34.49","48.73","1:04.01","1:27.49","3:17.28"
"995","-","34.50","48.75","1:04.03","1:27.52","3:17.35"
"994","21.95","34.52","48.76","1:04.05","1:27.55","3:17.42"
"993","21.96","34.53","48.78","1:04.07","1:27.58","3:17.49"
"992","21.97","34.54","48.80","1:04.09","1:27.61","3:17.57"
"991","-","34.55","48.81","1:04.11","1:27.64","3:17.64"
"990","21.98","34.56","48.83","1:04.14","1:27.66","3:17.71"
"989","21.99","34.57","48.84","1:04.16","1:27.69","3:17.78"
"988","-","34.59","48.86","1:04.18","1:27.72","3:17.85"
"987","22.00","34.60","48.88","1:04.20","1:27.75","3:17.92"
"986","22.01","34.61","48.89","1:04.22","1:27.78","3:18.00"
"985","22.02","34.62","48.91","1:04.24","1:27.81","3:18.07"
"984","-","34.63","48.92","1:04.26","1:27.84","3:18.14"
"983","22.03","34.65","48.94","1:04.28","1:27.86","3:18.21"
"982","22.04","34.66","48.96","1:04.31","1:27.89","3:18.28"
"981","-","34.67","48.97","1:04.33","1:27.92","3:18.36"
"980","22.05","34.68","48.99","1:04.35","1:27.95","3:18.43"
"979","22.06","34.69","49.00","1:04.37","1:27.98","3:18.50"
"978","-","34.70","49.02","1:04.39","1:28.01","3:18.57"
"977","22.07","34.72","49.04","1:04.41","1:28.04","3:18.65"
"976","22.08","34.73","49.05","1:04.43","1:28.06","3:18.72"
"975","22.09","34.74","49.07","1:04.45","1:28.09","3:18.79"
"974","-","34.75","49.09","1:04.48","1:28.12","3:18.86"
"973","22.10","34.76","49.10","1:04.50","1:28.15","3:18.94"
"972","22.11","34.78","49.12","1:04.52","1:28.18","3:19.01"
"971","-","34.79","49.13","1:04.54","1:28.21","3:19.08"
"970","22.12","34.80","49.15","1:04.56","1:28.24","3:19.15"
"969","22.13","34.81","49.17","1:04.58","1:28.27","3:19.23"
"968","22.14","34.82","49.18","1:04.60","1:28.29","3:19.30"
"967","-","34.84","49.20","1:04.62","1:28.32","3:19.37"
"966","22.15","34.85","49.21","1:04.65","1:28.35","3:19.44"
"965","22.16","34.86","49.23","1:04.67","1:28.38","3:19.52"
"964","-","34.87","49.25","1:04.69","1:28.41","3:19.59"
"963","22.17","34.88","49.26","1:04.71","1:28.44","3:19.66"
"962","22.18","34.90","49.28","1:04.73","1:28.47","3:19.74"
"961","22.19","34.91","49.30","1:04.75","1:28.50","3:19.81"
"960","-","34.92","49.31","1:04.77","1:28.52","3:19.88"
"959","22.20","34.93","49.33","1:04.80","1:28.55","3:19.95"
"958","22.21","34.94","49.35","1:04.82","1:28.58","3:20.03"
"957","22.22","34.96","49.36","1:04.84","1:28.61","3:20.10"
"956","-","34.97","49.38","1:04.86","1:28.64","3:20.17"
"955","22.23","34.98","49.39","1:04.88","1:28.67","3:20.25"
"954","22.24","34.99","49.41","1:04.90","1:28.70","3:20.32"
"953","-","35.00","49.43","1:04.93","1:28.73","3:20.39"
"952","22.25","35.02","49.44","1:04.95","1:28.76","3:20.47"
"951","22.26","35.03","49.46","1:04.97","1:28.79","3:20.54"
"950","22.27","35.04","49.48","1:04.99","1:28.81","3:20.61"
"949","-","35.05","49.49","1:05.01","1:28.84","3:20.69"
"948","22.28","35.06","49.51","1:05.03","1:28.87","3:20.76"
"947","22.29","35.08","49.53","1:05.05","1:28.90","3:20.83"
"946","-","35.09","49.54","1:05.08","1:28.93","3:20.91"
"945","22.30","35.10","49.56","1:05.10","1:28.96","3:20.98"
"944","22.31","35.11","49.57","1:05.12","1:28.99","3:21.05"
"943","22.32","35.13","49.59","1:05.14","1:29.02","3:21.13"
"942","-","35.14","49.61","1:05.16","1:29.05","3:21.20"
"941","22.33","35.15","49.62","1:05.18","1:29.08","3:21.27"
"940","22.34","35.16","49.64","1:05.21","1:29.11","3:21.35"
