"Points","HJ","PV","LJ","TJ","SP","Pent."
"195","-","-","-","4.62","3.63","971"
"194","-","1.42","2.16","4.61","3.61","967"
"193","-","-","-","4.60","3.59","963"
"192","-","-","2.15","4.59","3.58","959"
"191","-","1.41","-","4.58","3.56","955"
"190","-","-","2.14","4.57","3.54","951"
"189","-","-","-","4.56","3.53","947"
"188","0.91","1.40","2.13","4.55","3.51","943"
"187","-","-","-","4.54","3.50","939"
"186","-","-","2.12","4.53","3.48","935"
"185","-","1.39","-","4.52","3.46","931"
"184","-","-","-","4.50","3.45","927"
"183","-","1.38","2.11","4.49","3.43","923"
"182","-","-","-","4.48","3.41","919"
"181","-","-","2.10","4.47","3.40","915"
"180","-","1.37","-","4.46","3.38","910"
"179","0.90","-","2.09","4.45","3.36","906"
"178","-","-","-","4.44","3.35","902"
"177","-","1.36","2.08","4.43","3.33","898"
"176","-","-","-","4.42","3.32","894"
"175","-","-","2.07","4.41","3.30","890"
"174","-","1.35","-","4.40","3.28","886"
"173","-","-","2.06","4.39","3.27","882"
"172","-","-","-","4.38","3.25","878"
"171","-","1.34","2.05","4.37","3.23","874"
"170","0.89","-","-","4.36","3.22","870"
"169","-","-","2.04","4.35","3.20","866"
"168","-","1.33","-","4.33","3.18","862"
"167","-","-","2.03","4.32","3.17","858"
"166","-","-","-","4.31","3.15","854"
"165","-","1.32","2.02","4.30","3.14","850"
"164","-","-","-","4.29","3.12","846"
"163","-","1.31","2.01","4.28","3.10","842"
"162","-","-","-","4.27","3.09","838"
"161","0.88","-","2.00","4.26","3.07","833"
"160","-","1.30","-","4.25","3.05","829"
"159","-","-","1.99","4.24","3.04","825"
"158","-","-","-","4.23","3.02","821"
"157","-","1.29","1.98","4.22","3.00","817"
"156","-","-","-","4.21","2.99","813"
"155","-","-","1.97","4.20","2.97","809"
"154","-","1.28","-","4.19","2.95","805"
"153","-","-","1.96","4.18","2.94","801"
"152","0.87","-","-","4.16","2.92","797"
"151","-","1.27","1.95","4.15","2.91","793"
"150","-","-","-","4.14","2.89","789"
"149","-","-","1.94","4.13","2.87","785"
"148","-","1.26","-","4.12","2.86","781"
"147","-","-","1.93","4.11","2.84","777"
"146","-","-","-","4.10","2.82","773"
"145","-","1.25","1.92","4.09","2.81","769"
"144","-","-","-","4.08","2.79","764"
"143","0.86","1.24","1.91","4.07","2.77","760"
"142","-","-","-","4.06","2.76","756"
"141","-","-","1.90","4.05","2.74","752"
"140","-","1.23","-","4.04","2.73","748"
"139","-","-","1.89","4.03","2.71","744"
"138","-","-","-","4.02","2.69","740"
"137","-","1.22","1.88","4.00","2.68","736"
"136","-","-","-","3.99","2.66","732"
"135","-","-","1.87","3.98","2.64","728"
"134","0.85","1.21","-","3.97","2.63","724"
"133","-","-","1.86","3.96","2.61","720"
"132","-","-","-","3.95","2.59","716"
"131","-","1.20","1.85","3.94","2.58","712"
"130","-","-","-","3.93","2.56","708"
"129","-","-","1.84","3.92","2.55","703"
"128","-","1.19","-","3.91","2.53","699"
"127","-","-","1.83","3.90","2.51","695"
"126","-","-","-","3.89","2.50","691"
"125","0.84","1.18","1.82","3.88","2.48","687"
"124","-","-","-","3.87","2.46","683"
"123","-","1.17","1.81","3.86","2.45","679"
"122","-","-","-","3.84","2.43","675"
"121","-","-","1.80","3.83","2.41","671"
"120","-","1.16","-","3.82","2.40","667"
"119","-","-","1.79","3.81","2.38","663"
"118","-","-","-","3.80","2.36","659"
"117","-","1.15","1.78","3.79","2.35","655"
"116","0.83","-","-","3.78","2.33","651"
"115","-","-","1.77","3.77","2.32","646"
"114","-","1.14","-","3.76","2.30","642"
"113","-","-","1.76","3.75","2.28","638"
"112","-","-","-","3.74","2.27","634"
"111","-","1.13","1.75","3.73","2.25","630"
"110","-","-","-","3.72","2.23","626"
"109","-","-","1.74","3.71","2.22","622"
"108","-","1.12","-","3.69","2.20","618"
"107","0.82","-","1.73","3.68","2.18","614"
"106","-","1.11","-","3.67","2.17","610"
"105","-","-","1.72","3.66","2.15","606"
"104","-","-","-","3.65","2.14","602"
"103","-","1.10","1.71","3.64","2.12","598"
"102","-","-","-","3.63","2.10","593"
"101","-","-","1.70","3.62","2.09","589"
"100","-","1.09","-","3.61","2.07","585"
"99","-","-","1.69","3.60","2.05","581"
"98","0.81","-","-","3.59","2.04","577"
"97","-","1.08","1.68","3.58","2.02","573"
"96","-","-","-","3.57","2.00","569"
"95","-","-","1.67","3.56","1.99","565"
"94","-","1.07","-","3.55","1.97","561"
"93","-","-","1.66","3.53","1.95","557"
"92","-","-","-","3.52","1.94","553"
"91","-","1.06","1.65","3.51","1.92","549"
"90","-","-","-","3.50","1.91","544"
"89","0.80","-","1.64","3.49","1.89","540"
"88","-","1.05","-","3.48","1.87","536"
"87","-","-","1.63","3.47","1.86","532"
"86","-","1.04","-","3.46","1.84","528"
"85","-","-","1.62","3.45","1.82","524"
"84","-","-","-","3.44","1.81","520"
"83","-","1.03","1.61","3.43","1.79","516"
"82","-","-","-","3.42","1.77","512"
"81","-","-","1.60","3.41","1.76","508"
"80","0.79","1.02","-","3.40","1.74","504"
"79","-","-","1.59","3.38","1.72","500"
"78","-","-","-","3.37","1.71","495"
"77","-","1.01","1.58","3.36","1.69","491"
"76","-","-","-","3.35","1.68","487"
"75","-","-","1.57","3.34","1.66","483"
"74","-","1.00","-","3.33","1.64","479"
"73","-","-","1.56","3.32","1.63","475"
"72","-","-","-","3.31","1.61","471"
"71","0.78","0.99","1.55","3.30","1.59","467"
"70","-","-","-","3.29","1.58","463"
"69","-","0.98","1.54","3.28","1.56","459"
"68","-","-","-","3.27","1.54","455"
"67","-","-","1.53","3.26","1.53","450"
"66","-","0.97","-","3.25","1.51","446"
"65","-","-","1.52","3.23","1.49","442"
"64","-","-","-","3.22","1.48","438"
"63","-","0.96","1.51","3.21","1.46","434"
"62","0.77","-","-","3.20","1.45","430"
"61","-","-","1.50","3.19","1.43","426"
"60","-","0.95","-","3.18","1.41","422"
"59","-","-","1.49","3.17","1.40","418"
"58","-","-","-","3.16","1.38","414"
"57","-","0.94","1.48","3.15","1.36","409"
"56","-","-","-","3.14","1.35","405"
"55","-","0.93","1.47","3.13","1.33","401"
"54","-","-","-","3.12","1.31","397"
"53","0.76","-","1.46","3.11","1.30","393"
"52","-","0.92","-","3.09","1.28","389"
"51","-","-","1.45","3.08","1.27","385"
"50","-","-","-","3.07","1.25","381"
"49","-","0.91","1.44","3.06","1.23","377"
"48","-","-","-","3.05","1.22","373"
"47","-","-","1.43","3.04","1.20","369"
"46","-","0.90","-","3.03","1.18","364"
"45","-","-","1.42","3.02","1.17","360"
"44","0.75","-","-","3.01","1.15","356"
"43","-","0.89","1.41","3.00","1.13","352"
"42","-","-","-","2.99","1.12","348"
"41","-","-","1.40","2.98","1.10","344"
"40","-","0.88","-","2.97","1.08","340"
"39","-","-","1.39","2.95","1.07","336"
"38","-","0.87","-","2.94","1.05","332"
"37","-","-","1.38","2.93","1.04","327"
"36","-","-","-","2.92","1.02","323"
"35","0.74","0.86","1.37","2.91","1.00","319"
"34","-","-","-","2.90","0.99","315"
"33","-","-","1.36","2.89","0.97","311"
"32","-","0.85","-","2.88","0.95","307"
"31","-","-","1.35","2.87","0.94","303"
"30","-","-","-","2.86","0.92","299"
"29","-","0.84","1.34","2.85","0.90","295"
"28","-","-","-","2.84","0.89","291"
"27","-","-","1.33","2.83","0.87","286"
"26","0.73","0.83","-","2.81","0.85","282"
"25","-","-","1.32","2.80","0.84","278"
"24","-","-","-","2.79","0.82","274"
"23","-","0.82","1.31","2.78","0.80","270"
"22","-","-","-","2.77","0.79","266"
"21","-","0.81","1.30","2.76","0.77","262"
"20","-","-","-","2.75","0.76","258"
"19","-","-","1.29","2.74","0.74","254"
"18","-","0.80","-","2.73","0.72","249"
"17","0.72","-","1.28","2.72","0.71","245"
"16","-","-","-","2.71","0.69","241"
"15","-","0.79","1.27","2.70","0.67","237"
"14","-","-","-","2.69","0.66","233"
"13","-","-","1.26","2.67","0.64","229"
"12","-","0.78","-","2.66","0.62","225"
"11","-","-","1.25","2.65","0.61","221"
"10","-","-","-","2.64","0.59","216"
"9","0.71","0.77","1.24","2.63","0.57","212"
"8","-","-","-","2.62","0.56","208"
"7","-","0.76","1.23","2.61","0.54","204"
"6","-","-","-","2.60","0.53","200"
"5","-","-","1.22","2.59","0.51","196"
"4","-","0.75","-","2.58","0.49","192"
"3","-","-","1.21","2.57","0.48","188"
"2","-","-","-","2.56","0.46","184"
"1","-","0.74","1.20","2.54","0.44","179"
