"Points","100m","100mH","200m","300m","400m","400mH","4x100m","4x200m","4x400m"
"897","12.49","14.98","25.49","41.20","58.25","1:04.41","50.01","1:45.77","4:00.36"
"896","-","14.99","25.50","41.22","58.28","1:04.45","50.03","1:45.83","4:00.49"
"895","12.50","15.00","25.52","41.24","58.31","1:04.49","50.06","1:45.89","4:00.62"
"894","-","15.01","25.53","41.26","58.34","1:04.52","50.09","1:45.95","4:00.76"
"893","12.51","15.02","25.54","41.28","58.36","1:04.56","50.11","1:46.01","4:00.89"
"892","-","-","25.55","41.30","58.39","1:04.60","50.14","1:46.07","4:01.03"
"891","12.52","15.03","25.56","41.32","58.42","1:04.63","50.17","1:46.13","4:01.16"
"890","-","15.04","25.57","41.34","58.45","1:04.67","50.19","1:46.19","4:01.29"
"889","12.53","15.05","25.58","41.36","58.48","1:04.71","50.22","1:46.25","4:01.43"
"888","-","15.06","25.59","41.38","58.51","1:04.74","50.25","1:46.31","4:01.56"
"887","12.54","15.07","25.60","41.40","58.54","1:04.78","50.27","1:46.37","4:01.70"
"886","-","-","25.62","41.42","58.57","1:04.82","50.30","1:46.43","4:01.83"
"885","12.55","15.08","25.63","41.44","58.60","1:04.85","50.33","1:46.49","4:01.97"
"884","12.56","15.09","25.64","41.46","58.63","1:04.89","50.35","1:46.55","4:02.10"
"883","-","15.10","25.65","41.48","58.65","1:04.93","50.38","1:46.61","4:02.23"
"882","12.57","15.11","25.66","41.50","58.68","1:04.97","50.41","1:46.67","4:02.37"
"881","-","15.12","25.67","41.52","58.71","1:05.00","50.44","1:46.73","4:02.50"
"880","12.58","15.13","25.68","41.54","58.74","1:05.04","50.46","1:46.78","4:02.64"
"879","-","-","25.69","41.56","58.77","1:05.08","50.49","1:46.84","4:02.77"
"878","12.59","15.14","25.71","41.58","58.80","1:05.11","50.52","1:46.90","4:02.91"
"877","-","15.15","25.72","41.60","58.83","1:05.15","50.54","1:46.96","4:03.04"
"876","12.60","15.16","25.73","41.62","58.86","1:05.19","50.57","1:47.02","4:03.18"
"875","-","15.17","25.74","41.64","58.89","1:05.22","50.60","1:47.08","4:03.31"
"874","12.61","15.18","25.75","41.66","58.92","1:05.26","50.63","1:47.14","4:03.45"
"873","-","-","25.76","41.68","58.95","1:05.30","50.65","1:47.20","4:03.58"
"872","12.62","15.19","25.77","41.70","58.98","1:05.34","50.68","1:47.26","4:03.72"
"871","-","15.20","25.78","41.72","59.00","1:05.37","50.71","1:47.32","4:03.86"
"870","12.63","15.21","25.80","41.74","59.03","1:05.41","50.73","1:47.38","4:03.99"
"869","12.64","15.22","25.81","41.76","59.06","1:05.45","50.76","1:47.44","4:04.13"
"868","-","15.23","25.82","41.78","59.09","1:05.48","50.79","1:47.50","4:04.26"
"867","12.65","15.24","25.83","41.80","59.12","1:05.52","50.82","1:47.56","4:04.40"
"866","-","-","25.84","41.82","59.15","1:05.56","50.84","1:47.63","4:04.53"
